backend,mode,view_index,samples,median_ms,mean_ms,std_ms,min_ms,p05_ms,p95_ms,max_ms
diff,forward,0,20,2.4857600927352905,2.4929792284965515,0.029923640972495738,2.4432640075683594,2.4510464668273926,2.5480704784393313,2.554879903793335
diff,forward,17,20,2.4929279088974,2.498201584815979,0.03767294505027505,2.4401919841766357,2.4499200582504272,2.5571839213371277,2.5815041065216064
diff,forward,34,20,2.1744641065597534,2.178662395477295,0.04161022043068631,2.0940799713134766,2.115481507778168,2.2338560700416563,2.263040065765381
diff,forward,51,20,2.066431999206543,2.078207957744598,0.030562391846477147,2.008064031600952,2.0518399119377135,2.1228543519973755,2.124799966812134
diff,forward,68,20,1.736191987991333,1.736243188381195,0.02292738083082544,1.6895999908447266,1.7003007590770722,1.765785562992096,1.793023943901062
diff,forward,85,20,1.6773120164871216,1.674803215265274,0.017805990371485073,1.6353280544281006,1.6470016300678252,1.7034239768981934,1.7131520509719849
diff,forward,102,20,1.8416639566421509,1.8460671961307527,0.0334804380025764,1.7623039484024048,1.7934335589408876,1.9100160002708435,1.9148800373077393
diff,forward,119,20,2.1509119272232056,2.1487615942955016,0.058978372896767,2.032639980316162,2.058905553817749,2.264422464370728,2.2712318897247314
diff,forward,136,20,1.8088959455490112,1.806694394350052,0.033673825989554436,1.7418240308761597,1.7427968382835388,1.8458111763000489,1.8759679794311523
diff,forward,153,20,2.2195199728012085,2.214144003391266,0.03392787961076842,2.1432321071624756,2.1490687251091005,2.258534419536591,2.2702078819274902
diff,forward_backward,0,20,11.124224185943604,11.12130560874939,0.12246349070667385,10.92198371887207,10.950195360183717,11.300556993484497,11.372544288635254
diff,forward_backward,17,20,10.99776029586792,11.019878387451172,0.16300427037009113,10.766336441040039,10.83443160057068,11.346482849121093,11.357184410095215
diff,forward_backward,34,20,11.524096012115479,11.52250714302063,0.09998207430955296,11.320320129394531,11.356313323974609,11.646258926391603,11.691007614135742
diff,forward_backward,51,20,11.399168014526367,11.396863985061646,0.058746334972299225,11.268095970153809,11.31284465789795,11.465113401412964,11.531264305114746
