backend,mode,view_index,samples,median_ms,mean_ms,std_ms,min_ms,p05_ms,p95_ms,max_ms
diff,forward,0,20,2.4575999975204468,2.4583167910575865,0.021022795593770037,2.425856113433838,2.4336383461952207,2.489804685115814,2.4985599517822266
diff,forward,17,20,2.572800040245056,2.5686016201972963,0.023563478376945023,2.520064115524292,2.525900733470917,2.596249568462372,2.623487949371338
diff,forward,34,20,2.4545280933380127,2.455347180366516,0.01771003171576341,2.4268798828125,2.433689534664154,2.490521490573883,2.4934399127960205
diff,forward,51,20,2.2558720111846924,2.256179189682007,0.025508431356086946,2.2128639221191406,2.215782344341278,2.2865919947624205,2.3060479164123535
diff,forward,68,20,2.045952081680298,2.0528128147125244,0.03797617252481995,2.008064031600952,2.0109824538230896,2.1107200860977176,2.135040044784546
diff,forward,85,20,1.7868800163269043,1.7897983908653259,0.020302121684954884,1.7643519639968872,1.7662975788116455,1.8142719745635987,1.8483200073242188
diff,forward,102,20,2.579456090927124,2.5821184039115908,0.020056345759120412,2.554879903793335,2.5568255186080933,2.6145281076431277,2.638848066329956
diff,forward,119,20,2.4007679224014282,2.4050687909126283,0.017488937870478418,2.382848024368286,2.382848024368286,2.435276746749878,2.4391679763793945
diff,forward,136,20,2.4350719451904297,2.4323071956634523,0.029978249027710954,2.386944055557251,2.394726514816284,2.4797184348106383,2.491391897201538
diff,forward,153,20,2.4110080003738403,2.4143872261047363,0.048595967626333975,2.322432041168213,2.3555072665214536,2.486528074741363,2.530303955078125
diff,forward_backward,0,20,12.601343631744385,12.61306872367859,0.06579680581045215,12.518400192260742,12.519373226165772,12.734873294830322,12.742655754089355
diff,forward_backward,17,20,12.892159938812256,12.888729524612426,0.09614994795462553,12.705792427062988,12.751513242721558,13.044530868530273,13.06009578704834
diff,forward_backward,34,20,12.738560199737549,12.739071989059449,0.05396998533507137,12.646400451660156,12.655155038833618,12.82344946861267,12.840959548950195
diff,forward_backward,51,20,13.208576202392578,13.208473634719848,0.11207031480609066,12.999679565429688,13.00746202468872,13.352857923507692,13.370368003845215
diff,forward_backward,68,20,13.164544105529785,13.18778886795044,0.16708612365424796,12.984319686889648,13.030041408538818,13.442406368255615,13.760512351989746
diff,forward_backward,85,20,11.795968055725098,11.803033685684204,0.06268446832352632,11.728896141052246,11.731814336776733,11.900621032714843,11.992064476013184
diff,forward_backward,102,20,12.916224002838135,12.91873278617859,0.07169577008272475,12.812288284301758,12.823961973190308,13.02036519050598,13.121536254882812
diff,forward_backward,119,20,12.909567832946777,12.914329528808594,0.08418016727949361,12.74675178527832,12.778854656219481,13.065983819961549,13.100031852722168
diff,forward_backward,136,20,13.314559936523438,13.305856084823608,0.07171695043163094,13.163519859313965,13.183949041366576,13.399347400665283,13.405183792114258
diff,forward_backward,153,20,12.800511837005615,12.803737592697143,0.0926891717600298,12.642304420471191,12.653977203369141,12.916480112075806,12.950528144836426
gsplat_two_pass,forward,0,20,2.893823981285095,2.9122559905052183,0.04646463816685928,2.8477439880371094,2.872063946723938,2.978611207008362,3.033087968826294
gsplat_two_pass,forward,17,20,3.1564799547195435,3.172915184497833,0.04768327863011432,3.1098880767822266,3.11669750213623,3.2506879568099976,3.260416030883789
gsplat_two_pass,forward,34,20,2.9767680168151855,2.973900818824768,0.02961243254263679,2.9265921115875244,2.936319959163666,3.0204416990280154,3.033087968826294
gsplat_two_pass,forward,51,20,2.6731520891189575,2.6751999855041504,0.027626017537535484,2.634752035140991,2.6435073018074036,2.7189247488975528,2.742271900177002
gsplat_two_pass,forward,68,20,2.605568051338196,2.6159616112709045,0.029583848201842393,2.5825281143188477,2.5825281143188477,2.6652672171592715,2.6808319091796875
gsplat_two_pass,forward,85,20,2.324992060661316,2.330675220489502,0.042332198378240336,2.274303913116455,2.279167950153351,2.4050687551498413,2.4186880588531494
gsplat_two_pass,forward,102,20,3.0438400506973267,3.0551551938056947,0.032372285607024036,3.012608051300049,3.0174720883369446,3.1201791167259216,3.121151924133301
gsplat_two_pass,forward,119,20,3.004415988922119,3.019315207004547,0.04696960879962993,2.9511680603027344,2.969651174545288,3.094476747512817,3.132416009902954
gsplat_two_pass,forward,136,20,3.109376072883606,3.1141888022422792,0.037379279985558914,3.06278395652771,3.0647295713424683,3.166976010799408,3.220479965209961
gsplat_two_pass,forward,153,20,2.8825600147247314,2.8827648162841797,0.03779919307648519,2.8293120861053467,2.8361215114593508,2.9451264023780825,2.9665279388427734
gsplat_two_pass,forward_backward,0,20,9.134592056274414,9.147955179214478,0.09426451271682197,9.020416259765625,9.024307489395142,9.338265657424927,9.365504264831543
gsplat_two_pass,forward_backward,17,20,9.811967849731445,9.8150399684906,0.0827745458430615,9.70035171508789,9.705215978622435,9.944883346557617,9.960448265075684
gsplat_two_pass,forward_backward,34,20,9.068032264709473,9.078783988952637,0.052089051368960124,8.976384162902832,8.996812438964843,9.171455955505373,9.200639724731445
gsplat_two_pass,forward_backward,51,20,8.009727954864502,8.014899134635925,0.08919377697512881,7.8448638916015625,7.903231883049012,8.127129220962525,8.237055778503418
gsplat_two_pass,forward_backward,68,20,8.626175880432129,8.619878435134888,0.0788464888458843,8.470527648925781,8.48414740562439,8.722585725784302,8.725503921508789
gsplat_two_pass,forward_backward,85,20,7.384576082229614,7.359795236587525,0.10087366795475429,7.19974422454834,7.204608035087586,7.482060766220092,7.55404806137085
gsplat_two_pass,forward_backward,102,20,9.331199645996094,9.338675117492675,0.067417752131927,9.226240158081055,9.228185319900513,9.428633832931519,9.499648094177246
gsplat_two_pass,forward_backward,119,20,9.638912200927734,9.654376077651978,0.05833888198972516,9.564160346984863,9.571942806243896,9.742182445526124,9.758720397949219
gsplat_two_pass,forward_backward,136,20,10.0316162109375,10.063564729690551,0.10229597655510715,9.926655769348145,9.928601837158203,10.274048233032227,10.278911590576172
gsplat_two_pass,forward_backward,153,20,8.803840160369873,8.796006393432616,0.06034540626778092,8.687616348266602,8.690534543991088,8.865228366851806,8.912896156311035
gsplat_native19,forward,0,20,2.268671989440918,2.2740991950035094,0.037771453131234194,2.2118399143218994,2.229350447654724,2.3448063731193542,2.3613440990448
gsplat_native19,forward,17,20,2.382848024368286,2.38438401222229,0.0206931020147802,2.352128028869629,2.353100836277008,2.412492799758911,2.430975914001465
gsplat_native19,forward,34,20,2.2568960189819336,2.259558403491974,0.028456385488087217,2.2210559844970703,2.2298112511634827,2.2854143738746644,2.3603200912475586
gsplat_native19,forward,51,20,2.02239990234375,2.0230655908584594,0.025820618922535187,1.9906560182571411,1.9916288256645203,2.0729344487190247,2.0797441005706787
gsplat_native19,forward,68,20,2.1227519512176514,2.1288959860801695,0.022410090144872136,2.0992000102996826,2.103091239929199,2.1773822903633118,2.184191942214966
gsplat_native19,forward,85,20,1.9215359687805176,1.929420793056488,0.029299563893570506,1.8923519849777222,1.8962432146072388,1.9808256566524505,1.9886080026626587
gsplat_native19,forward,102,20,2.291200041770935,2.3044607996940614,0.03964469342831941,2.248703956604004,2.263296067714691,2.3534592032432555,2.437119960784912
gsplat_native19,forward,119,20,2.341887950897217,2.3597568035125733,0.07404357750484837,2.3060479164123535,2.308966338634491,2.4686079025268555,2.638848066329956
gsplat_native19,forward,136,20,2.398719906806946,2.4077824115753175,0.046925894116938885,2.347007989883423,2.3567360639572144,2.5121792435646055,2.5374720096588135
gsplat_native19,forward,153,20,2.2287360429763794,2.228275191783905,0.030147823860941416,2.1770238876342773,2.1848063468933105,2.2712830901145935,2.2722558975219727
gsplat_native19,forward_backward,0,20,6.560256004333496,6.549401569366455,0.08001277087537707,6.421504020690918,6.4506877899169925,6.67653124332428,6.696959972381592
gsplat_native19,forward_backward,17,20,6.771199941635132,6.819635200500488,0.09937085853686085,6.715392112731934,6.716364693641663,6.990796852111816,7.028736114501953
gsplat_native19,forward_backward,34,20,6.352896213531494,6.347724843025207,0.06228433989243702,6.239232063293457,6.256742596626282,6.4441855430603034,6.466559886932373
gsplat_native19,forward_backward,51,20,5.77126407623291,5.763072037696839,0.07888821949911325,5.631999969482422,5.656319928169251,5.899929690361024,5.932032108306885
gsplat_native19,forward_backward,68,20,6.252543926239014,6.263552021980286,0.05702831282874539,6.157311916351318,6.192332983016968,6.355404782295227,6.383615970611572
gsplat_native19,forward_backward,85,20,5.379071950912476,5.393356800079346,0.11612525432720226,5.195775985717773,5.212313485145569,5.612646460533142,5.6145920753479
gsplat_native19,forward_backward,102,20,6.588927984237671,6.594713616371155,0.07475553695902817,6.447103977203369,6.472396969795227,6.693734335899353,6.7491841316223145
gsplat_native19,forward_backward,119,20,6.884864091873169,6.899609613418579,0.05985282227733117,6.816768169403076,6.827468824386597,6.9954046487808235,7.023615837097168
gsplat_native19,forward_backward,136,20,7.1388161182403564,7.155353593826294,0.07316008530619254,7.032832145690918,7.071743988990783,7.28755214214325,7.341055870056152
