kind,cdim,ptxas_regs_per_thread,stack_frame_bytes,spill_stores_bytes,spill_loads_bytes,ptxas_static_smem_bytes,ptxas_cmem_bytes,ptxas_entry_line,ptxas_used_line,symbol
bwd,257,255,2448,5020,4344,0,528,480,483,_ZN6gsplat35rasterize_to_pixels_3dgs_bwd_kernelILj257EfEEvjjjbPKN3glm3vecILi2EfLNS1_9qualifierE0EEEPKNS2_ILi3EfLS3_0EEEPKT0_SC_SC_PKbjjjjjPKiSG_SC_SG_SC_SC_PS4_SH_PS7_PSA_SJ_
bwd,512,255,6704,13800,24728,0,528,476,479,_ZN6gsplat35rasterize_to_pixels_3dgs_bwd_kernelILj512EfEEvjjjbPKN3glm3vecILi2EfLNS1_9qualifierE0EEEPKNS2_ILi3EfLS3_0EEEPKT0_SC_SC_PKbjjjjjPKiSG_SC_SG_SC_SC_PS4_SH_PS7_PSA_SJ_
bwd,513,255,6736,27452,27940,0,528,472,475,_ZN6gsplat35rasterize_to_pixels_3dgs_bwd_kernelILj513EfEEvjjjbPKN3glm3vecILi2EfLNS1_9qualifierE0EEEPKNS2_ILi3EfLS3_0EEEPKT0_SC_SC_PKbjjjjjPKiSG_SC_SG_SC_SC_PS4_SH_PS7_PSA_SJ_
fwd,1,40,0,0,0,0,480,466,469,_ZN6gsplat35rasterize_to_pixels_3dgs_fwd_kernelILj1EfEEvjjjbPKN3glm3vecILi2EfLNS1_9qualifierE0EEEPKNS2_ILi3EfLS3_0EEEPKT0_SC_SC_PKbjjjjjPKiSG_PSA_SH_Pi
fwd,2,40,0,0,0,0,480,462,465,_ZN6gsplat35rasterize_to_pixels_3dgs_fwd_kernelILj2EfEEvjjjbPKN3glm3vecILi2EfLNS1_9qualifierE0EEEPKNS2_ILi3EfLS3_0EEEPKT0_SC_SC_PKbjjjjjPKiSG_PSA_SH_Pi
fwd,3,40,0,0,0,0,480,458,461,_ZN6gsplat35rasterize_to_pixels_3dgs_fwd_kernelILj3EfEEvjjjbPKN3glm3vecILi2EfLNS1_9qualifierE0EEEPKNS2_ILi3EfLS3_0EEEPKT0_SC_SC_PKbjjjjjPKiSG_PSA_SH_Pi
fwd,4,40,0,0,0,0,480,454,457,_ZN6gsplat35rasterize_to_pixels_3dgs_fwd_kernelILj4EfEEvjjjbPKN3glm3vecILi2EfLNS1_9qualifierE0EEEPKNS2_ILi3EfLS3_0EEEPKT0_SC_SC_PKbjjjjjPKiSG_PSA_SH_Pi
fwd,5,40,0,0,0,0,480,450,453,_ZN6gsplat35rasterize_to_pixels_3dgs_fwd_kernelILj5EfEEvjjjbPKN3glm3vecILi2EfLNS1_9qualifierE0EEEPKNS2_ILi3EfLS3_0EEEPKT0_SC_SC_PKbjjjjjPKiSG_PSA_SH_Pi
fwd,8,46,0,0,0,0,480,446,449,_ZN6gsplat35rasterize_to_pixels_3dgs_fwd_kernelILj8EfEEvjjjbPKN3glm3vecILi2EfLNS1_9qualifierE0EEEPKNS2_ILi3EfLS3_0EEEPKT0_SC_SC_PKbjjjjjPKiSG_PSA_SH_Pi
fwd,9,47,0,0,0,0,480,442,445,_ZN6gsplat35rasterize_to_pixels_3dgs_fwd_kernelILj9EfEEvjjjbPKN3glm3vecILi2EfLNS1_9qualifierE0EEEPKNS2_ILi3EfLS3_0EEEPKT0_SC_SC_PKbjjjjjPKiSG_PSA_SH_Pi
fwd,16,56,0,0,0,0,480,438,441,_ZN6gsplat35rasterize_to_pixels_3dgs_fwd_kernelILj16EfEEvjjjbPKN3glm3vecILi2EfLNS1_9qualifierE0EEEPKNS2_ILi3EfLS3_0EEEPKT0_SC_SC_PKbjjjjjPKiSG_PSA_SH_Pi
fwd,17,64,0,0,0,0,480,434,437,_ZN6gsplat35rasterize_to_pixels_3dgs_fwd_kernelILj17EfEEvjjjbPKN3glm3vecILi2EfLNS1_9qualifierE0EEEPKNS2_ILi3EfLS3_0EEEPKT0_SC_SC_PKbjjjjjPKiSG_PSA_SH_Pi
fwd,19,72,0,0,0,0,480,430,433,_ZN6gsplat35rasterize_to_pixels_3dgs_fwd_kernelILj19EfEEvjjjbPKN3glm3vecILi2EfLNS1_9qualifierE0EEEPKNS2_ILi3EfLS3_0EEEPKT0_SC_SC_PKbjjjjjPKiSG_PSA_SH_Pi
fwd,32,64,0,0,0,0,480,426,429,_ZN6gsplat35rasterize_to_pixels_3dgs_fwd_kernelILj32EfEEvjjjbPKN3glm3vecILi2EfLNS1_9qualifierE0EEEPKNS2_ILi3EfLS3_0EEEPKT0_SC_SC_PKbjjjjjPKiSG_PSA_SH_Pi
fwd,33,128,0,0,0,0,480,422,425,_ZN6gsplat35rasterize_to_pixels_3dgs_fwd_kernelILj33EfEEvjjjbPKN3glm3vecILi2EfLNS1_9qualifierE0EEEPKNS2_ILi3EfLS3_0EEEPKT0_SC_SC_PKbjjjjjPKiSG_PSA_SH_Pi
fwd,64,96,0,0,0,0,480,418,421,_ZN6gsplat35rasterize_to_pixels_3dgs_fwd_kernelILj64EfEEvjjjbPKN3glm3vecILi2EfLNS1_9qualifierE0EEEPKNS2_ILi3EfLS3_0EEEPKT0_SC_SC_PKbjjjjjPKiSG_PSA_SH_Pi
fwd,65,254,0,0,0,0,480,414,417,_ZN6gsplat35rasterize_to_pixels_3dgs_fwd_kernelILj65EfEEvjjjbPKN3glm3vecILi2EfLNS1_9qualifierE0EEEPKNS2_ILi3EfLS3_0EEEPKT0_SC_SC_PKbjjjjjPKiSG_PSA_SH_Pi
fwd,128,168,0,0,0,0,480,410,413,_ZN6gsplat35rasterize_to_pixels_3dgs_fwd_kernelILj128EfEEvjjjbPKN3glm3vecILi2EfLNS1_9qualifierE0EEEPKNS2_ILi3EfLS3_0EEEPKT0_SC_SC_PKbjjjjjPKiSG_PSA_SH_Pi
fwd,129,255,872,1136,1728,0,480,406,409,_ZN6gsplat35rasterize_to_pixels_3dgs_fwd_kernelILj129EfEEvjjjbPKN3glm3vecILi2EfLNS1_9qualifierE0EEEPKNS2_ILi3EfLS3_0EEEPKT0_SC_SC_PKbjjjjjPKiSG_PSA_SH_Pi
fwd,256,255,120,196,276,0,480,402,405,_ZN6gsplat35rasterize_to_pixels_3dgs_fwd_kernelILj256EfEEvjjjbPKN3glm3vecILi2EfLNS1_9qualifierE0EEEPKNS2_ILi3EfLS3_0EEEPKT0_SC_SC_PKbjjjjjPKiSG_PSA_SH_Pi
fwd,257,255,3104,5076,8248,0,480,398,401,_ZN6gsplat35rasterize_to_pixels_3dgs_fwd_kernelILj257EfEEvjjjbPKN3glm3vecILi2EfLNS1_9qualifierE0EEEPKNS2_ILi3EfLS3_0EEEPKT0_SC_SC_PKbjjjjjPKiSG_PSA_SH_Pi
fwd,512,255,1184,2248,3352,0,480,394,397,_ZN6gsplat35rasterize_to_pixels_3dgs_fwd_kernelILj512EfEEvjjjbPKN3glm3vecILi2EfLNS1_9qualifierE0EEEPKNS2_ILi3EfLS3_0EEEPKT0_SC_SC_PKbjjjjjPKiSG_PSA_SH_Pi
fwd,513,255,6728,12356,20644,0,480,390,393,_ZN6gsplat35rasterize_to_pixels_3dgs_fwd_kernelILj513EfEEvjjjbPKN3glm3vecILi2EfLNS1_9qualifierE0EEEPKNS2_ILi3EfLS3_0EEEPKT0_SC_SC_PKbjjjjjPKiSG_PSA_SH_Pi
