# gpu         pid   type     sm    mem    enc    dec    jpg    ofa     fb   ccpm    command 
# Idx           #    C/G      %      %      %      %      %      %     MB     MB    name 
    5    2049305     C      0      0      -      -      -      -    530      0    python         
    5    2049305     C      5      1      -      -      -      -    762      0    python         
    5    2049305     C     74     21      -      -      -      -    764      0    python         
    5    2049305     C     89     26      -      -      -      -    764      0    python         
    5    2049305     C     93     27      -      -      -      -    764      0    python         
    5    2049305     C     93     27      -      -      -      -    764      0    python         
    5    2049305     C     93     27      -      -      -      -    764      0    python         
    5    2049305     C     93     28      -      -      -      -    764      0    python         
    5    2049305     C     93     27      -      -      -      -    764      0    python         
    5    2049305     C     93     28      -      -      -      -    764      0    python         
    5    2049305     C     93     28      -      -      -      -    764      0    python         
    5    2049305     C     93     27      -      -      -      -    764      0    python         
    5    2049305     C     93     27      -      -      -      -    764      0    python         
    5    2049305     C     93     27      -      -      -      -    764      0    python         
    5    2049305     C     93     28      -      -      -      -    764      0    python         
    5    2049305     C     93     28      -      -      -      -    764      0    python         
    5    2049305     C     93     28      -      -      -      -    764      0    python         
    5    2049305     C     93     27      -      -      -      -    764      0    python         
    5    2049305     C     93     28      -      -      -      -    764      0    python         
    5    2049305     C     93     28      -      -      -      -    764      0    python         
    5    2049305     C     93     28      -      -      -      -    764      0    python         
    5    2049305     C     93     27      -      -      -      -    764      0    python         
    5    2049305     C     91     27      -      -      -      -    764      0    python         
    5    2049305     C     91     27      -      -      -      -    764      0    python         
    5    2049305     C     91     27      -      -      -      -    764      0    python         
    5    2049305     C     91     27      -      -      -      -    764      0    python         
    5    2049305     C     91     27      -      -      -      -    764      0    python         
    5    2049305     C     91     27      -      -      -      -    764      0    python         
    5    2049305     C     91     27      -      -      -      -    764      0    python         
    5    2049305     C     91     27      -      -      -      -    764      0    python         
    5    2049305     C     28      8      -      -      -      -    764      0    python         
