backend,mode,mean_ms,min_ms,max_ms,event_peak_mb,profiler_peak_mb
diff,forward,2.6332159519195555,2.5968639850616455,2.6562559604644775,226.75537109375,226.75537109375
diff,forward_backward,13.186204814910889,12.754816055297852,13.709600448608398,341.974609375,341.974609375
gsplat_two_pass,forward,3.016537570953369,2.977855920791626,3.0800960063934326,214.24951171875,214.24951171875
gsplat_two_pass,forward_backward,9.396886348724365,9.292767524719238,9.54310417175293,276.76953125,276.76953125
gsplat_padded_single,forward,2.7963104248046875,2.767199993133545,2.8345279693603516,260.580078125,260.580078125
gsplat_padded_single,forward_backward,9.400713539123535,9.342911720275879,9.449440002441406,297.013671875,297.013671875
gsplat_single,forward,2.7100831985473635,2.6744959354400635,2.747648000717163,198.89892578125,198.89892578125
gsplat_single,forward_backward,7.876889610290528,7.781407833099365,7.987679958343506,264.86572265625,264.86572265625
